date,startup,vertical,subvertical,city,investors,round,amount
01-09-2020,BYJU,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,20
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,0.8
01-09-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,1.84
01-02-2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,0.3
01-02-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Angel Round,0.18
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,0.9
01-10-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,15
12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,0.6
12-06-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,7
12-03-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Angel Round,5
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,2
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,1.2
16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,3
14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Angel Round,0.2
12-11-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Angel Round,5
20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,23.1
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,15
14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,0.05
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Angel Round,0.15
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,1.2
15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt-Funding,2.6
20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt-Funding,1.74
11-12-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Angel Round,0.13
20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,13.5
11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Angel Round,0.03
19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Angel Round,22
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,1.58
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,28.3
25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,100
10-04-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,4.5
10-02-2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,58.5
09-05-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,0.45
09-04-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,0.33
09-04-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,0.6
09-04-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,0.5
09-04-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,1.8
09-04-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Angel Round,0.1
09-04-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,1
09-04-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,45
09-03-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,0.5
08-01-2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,2
08-01-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,0.5
08-01-2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture Round,14
08-01-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,3.81
08-12-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,12.5
13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,1.1
13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,5.1
23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,3.7
23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Angel Round,0.05
23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,11
22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,1.5
21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,0.66
23-08-2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Angel Round,0.1
19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,7
27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,390
07-02-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,1.9
07-02-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,0.25
07-01-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Round,0.01
07-03-2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,0.1
07-01-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,3.81
07-04-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Angel Round,0.05
07-10-2019,BYJU,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity,15
07-11-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,6
07-10-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,1.6
07-10-2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,0.58
07-10-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,0.25
07-09-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,0.1
07-08-2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,0.03
06-05-2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,5.1
06-04-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt-Funding,1
06-03-2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,0.9
06-04-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,7.5
06-04-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,2.6
06-03-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,0.25
06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,2.6
06-10-2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Angel Round,0.04
06-10-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,1.55
